model,resolution,category,gmacs,pct_of_total
swin_base_patch4_window7_224,224,norm,0.0314,0.20
swin_base_patch4_window7_224,224,patch_embed,0.0213,0.14
swin_base_patch4_window7_224,224,attention_other,0.0000,0.00
swin_base_patch4_window7_224,224,other,0.0000,0.00
swin_base_patch4_window7_224,224,head,0.0000,0.00
swin_base_patch4_window7_224,256,ffn_mlp,12.8849,51.06
swin_base_patch4_window7_224,256,attention_qkv,8.4392,33.44
swin_base_patch4_window7_224,256,attention_proj,2.8131,11.15
swin_base_patch4_window7_224,256,downsample,0.4072,1.61
swin_base_patch4_window7_224,256,norm,0.0410,0.16
swin_base_patch4_window7_224,256,patch_embed,0.0278,0.11
swin_base_patch4_window7_224,256,attention_other,0.0000,0.00
swin_base_patch4_window7_224,256,other,0.0000,0.00
swin_base_patch4_window7_224,256,head,0.0000,0.00
swin_base_patch4_window7_224,384,ffn_mlp,28.9910,57.83
swin_base_patch4_window7_224,384,attention_qkv,14.2195,28.37
swin_base_patch4_window7_224,384,attention_proj,4.7398,9.46
swin_base_patch4_window7_224,384,downsample,0.9163,1.83
swin_base_patch4_window7_224,384,norm,0.0922,0.18
swin_base_patch4_window7_224,384,patch_embed,0.0625,0.12
swin_base_patch4_window7_224,384,attention_other,0.0000,0.00
swin_base_patch4_window7_224,384,other,0.0000,0.00
swin_base_patch4_window7_224,384,head,0.0000,0.00
swin_base_patch4_window7_224,512,ffn_mlp,51.5396,59.22
swin_base_patch4_window7_224,512,attention_qkv,23.7810,27.32
swin_base_patch4_window7_224,512,attention_proj,7.9270,9.11
swin_base_patch4_window7_224,512,downsample,1.6290,1.87
swin_base_patch4_window7_224,512,norm,0.1638,0.19
swin_base_patch4_window7_224,512,patch_embed,0.1111,0.13
swin_base_patch4_window7_224,512,attention_other,0.0000,0.00
swin_base_patch4_window7_224,512,other,0.0000,0.00
swin_base_patch4_window7_224,512,head,0.0000,0.00
swin_base_patch4_window7_224,768,ffn_mlp,115.9641,62.35
swin_base_patch4_window7_224,768,attention_qkv,46.4734,24.99
swin_base_patch4_window7_224,768,attention_proj,15.4911,8.33
swin_base_patch4_window7_224,768,downsample,3.6652,1.97
swin_base_patch4_window7_224,768,norm,0.3686,0.20
swin_base_patch4_window7_224,768,patch_embed,0.2501,0.13
swin_base_patch4_window7_224,768,attention_other,0.0000,0.00
swin_base_patch4_window7_224,768,other,0.0000,0.00
swin_base_patch4_window7_224,768,head,0.0000,0.00
swin_base_patch4_window7_224,1024,ffn_mlp,206.1584,60.31
swin_base_patch4_window7_224,1024,attention_qkv,90.6203,26.51
swin_base_patch4_window7_224,1024,attention_proj,30.2068,8.84
swin_base_patch4_window7_224,1024,downsample,6.5159,1.91
swin_base_patch4_window7_224,1024,norm,0.6554,0.19
swin_base_patch4_window7_224,1024,patch_embed,0.4446,0.13
swin_base_patch4_window7_224,1024,attention_other,0.0000,0.00
swin_base_patch4_window7_224,1024,other,0.0000,0.00
swin_base_patch4_window7_224,1024,head,0.0000,0.00
deit3_small_patch16_224,64,ffn_mlp,0.2406,65.66
deit3_small_patch16_224,64,attention_qkv,0.0902,24.62
